Event Name,Type,Date (mm/dd/yyyy),Start Time,End Time,Room / Table Location,Team Number,Team Name
Test Event,Official Match 1,,9:40 AM,9:47 AM,Table 1B,17905,Turbo Voyagers
Test Event,Official Match 2,,11:16 AM,11:23 AM,Table 1A,17905,Turbo Voyagers
Test Event,Official Match 3,,12:12 PM,12:19 PM,Table 1C,17905,Turbo Voyagers
Test Event,Official Match 1,,9:24 AM,9:31 AM,Table 1C,80540,Atomic Wolves
Test Event,Official Match 2,,10:28 AM,10:35 AM,Table 1B,80540,Atomic Wolves
Test Event,Official Match 3,,12:20 PM,12:27 PM,Table 1A,80540,Atomic Wolves
Test Event,Official Match 1,,9:32 AM,9:39 AM,Table 1B,1883,Savage Bots
Test Event,Official Match 2,,11:16 AM,11:23 AM,Table 1B,1883,Savage Bots
Test Event,Official Match 3,,11:40 AM,11:47 AM,Table 1B,1883,Savage Bots
Test Event,Official Match 1,,9:16 AM,9:23 AM,Table 1B,96682,Zap
Test Event,Official Match 2,,11:00 AM,11:07 AM,Table 1A,96682,Zap
Test Event,Official Match 3,,11:56 AM,12:03 PM,Table 1A,96682,Zap
Test Event,Official Match 1,,10:04 AM,10:11 AM,Table 1A,92630,Quantum Rangers
Test Event,Official Match 2,,11:08 AM,11:15 AM,Table 1C,92630,Quantum Rangers
Test Event,Official Match 3,,11:32 AM,11:39 AM,Table 1B,92630,Quantum Rangers
Test Event,Official Match 1,,9:00 AM,9:07 AM,Table 1A,6208,Precision Engineering Dream Team
Test Event,Official Match 2,,10:52 AM,10:59 AM,Table 1C,6208,Precision Engineering Dream Team
Test Event,Official Match 3,,11:24 AM,11:31 AM,Table 1B,6208,Precision Engineering Dream Team
Test Event,Official Match 1,,9:56 AM,10:03 AM,Table 1A,451,Nova
Test Event,Official Match 2,,10:52 AM,10:59 AM,Table 1B,451,Nova
Test Event,Official Match 3,,12:20 PM,12:27 PM,Table 1C,451,Nova
Test Event,Official Match 1,,9:08 AM,9:15 AM,Table 1A,59263,The Mechanical Marvels Coalition
Test Event,Official Match 2,,10:44 AM,10:51 AM,Table 1B,59263,The Mechanical Marvels Coalition
Test Event,Official Match 3,,12:04 PM,12:11 PM,Table 1A,59263,The Mechanical Marvels Coalition
