Event Name,Type,Date (mm/dd/yyyy),Start Time,End Time,Room / Table Location,Team Number,Team Name
Test Event,Official Match 1,,9:40 AM,9:47 AM,Table 1A,73319,Iron Phoenixes
Test Event,Official Match 2,,12:04 PM,12:11 PM,Table 1A,73319,Iron Phoenixes
Test Event,Official Match 3,,2:28 PM,2:35 PM,Table 1A,73319,Iron Phoenixes
Test Event,Official Match 1,,10:20 AM,10:27 AM,Table 1B,9795,The Fantastic Gear Grinding Crew
Test Event,Official Match 2,,10:52 AM,10:59 AM,Table 1A,9795,The Fantastic Gear Grinding Crew
Test Event,Official Match 3,,1:40 PM,1:47 PM,Table 1B,9795,The Fantastic Gear Grinding Crew
Test Event,Official Match 1,,9:32 AM,9:39 AM,Table 1A,5415,Mighty Rangers
Test Event,Official Match 2,,12:04 PM,12:11 PM,Table 1B,5415,Mighty Rangers
Test Event,Official Match 3,,12:52 PM,12:59 PM,Table 1B,5415,Mighty Rangers
Test Event,Official Match 1,,9:24 AM,9:31 AM,Table 1B,56947,Titan Squad
Test Event,Official Match 2,,11:00 AM,11:07 AM,Table 1B,56947,Titan Squad
Test Event,Official Match 3,,2:04 PM,2:11 PM,Table 1A,56947,Titan Squad
Test Event,Official Match 1,,9:48 AM,9:55 AM,Table 1B,15573,Precision Engineering Dream Team
Test Event,Official Match 2,,11:56 AM,12:03 PM,Table 1B,15573,Precision Engineering Dream Team
Test Event,Official Match 3,,2:12 PM,2:19 PM,Table 1B,15573,Precision Engineering Dream Team
Test Event,Official Match 1,,9:48 AM,9:55 AM,Table 1A,55050,Nova Force
Test Event,Official Match 2,,12:12 PM,12:19 PM,Table 1B,55050,Nova Force
Test Event,Official Match 3,,1:32 PM,1:39 PM,Table 1B,55050,Nova Force
Test Event,Official Match 1,,9:24 AM,9:31 AM,Table 1A,7796,Robotics Engineering Task Force
Test Event,Official Match 2,,11:32 AM,11:39 AM,Table 1A,7796,Robotics Engineering Task Force
Test Event,Official Match 3,,1:56 PM,2:03 PM,Table 1A,7796,Robotics Engineering Task Force
Test Event,Official Match 1,,9:40 AM,9:47 AM,Table 1B,5525,Shadow Force
Test Event,Official Match 2,,12:20 PM,12:27 PM,Table 1B,5525,Shadow Force
